country,year,electricity_generation,renewables_electricity,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,fossil_electricity,carbon_intensity_elec,pct_renouvelable,pct_nucleaire
Norway,2020,154.32,152.03,0.08,9.91,141.8,0.0,2.29,30.39,98.5,0.0
Norway,2021,157.13,156.06,0.11,11.76,143.97,0.0,1.07,26.92,99.3,0.0
Norway,2022,145.42,143.45,0.17,14.8,128.24,0.0,1.97,29.64,98.6,0.0
Norway,2023,153.63,151.28,0.36,13.96,136.71,0.0,2.35,30.46,98.5,0.0
Norway,2024,157.11,154.92,0.53,14.6,139.55,0.0,2.19,29.66,98.6,0.0
Norway,2025,160.81,159.2,0.53,13.56,144.77,0.0,1.61,28.11,99.0,0.0
Poland,2000,143.18,2.33,0.0,0.0,2.11,0.0,140.85,954.6,1.6,0.0
Poland,2001,143.72,2.78,0.0,0.01,2.33,0.0,140.94,949.56,1.9,0.0
Poland,2002,142.49,2.77,0.0,0.06,2.28,0.0,139.72,945.61,1.9,0.0
Poland,2003,150.01,2.25,0.0,0.12,1.67,0.0,147.76,949.8,1.5,0.0
Poland,2004,152.54,3.2,0.0,0.14,2.08,0.0,149.34,941.26,2.1,0.0
Poland,2005,155.29,3.85,0.0,0.14,2.2,0.0,151.44,932.26,2.5,0.0
Poland,2006,160.7,4.29,0.0,0.26,2.04,0.0,156.41,931.92,2.7,0.0
Poland,2007,158.52,5.43,0.0,0.52,2.35,0.0,153.09,925.44,3.4,0.0
Poland,2008,154.5,6.61,0.0,0.84,2.15,0.0,147.89,918.51,4.3,0.0
Poland,2009,150.86,8.69,0.0,1.08,2.38,0.0,142.17,904.81,5.8,0.0
Poland,2010,156.77,10.88,0.0,1.66,2.92,0.0,145.89,893.03,6.9,0.0
Poland,2011,162.87,13.13,0.0,3.2,2.33,0.0,149.74,881.69,8.1,0.0
Poland,2012,161.48,16.88,0.0,4.75,2.04,0.0,144.6,860.79,10.5,0.0
Poland,2013,163.78,17.06,0.0,6.0,2.44,0.0,146.72,863.23,10.4,0.0
Poland,2014,158.35,19.85,0.01,7.68,2.18,0.0,138.5,844.08,12.5,0.0
Poland,2015,164.3,22.69,0.06,10.86,1.83,0.0,141.61,826.11,13.8,0.0
Poland,2016,166.0,22.81,0.12,12.59,2.14,0.0,143.19,818.55,13.7,0.0
Poland,2017,169.91,24.13,0.17,14.91,2.56,0.0,145.78,805.54,14.2,0.0
Poland,2018,169.43,21.62,0.3,12.8,1.97,0.0,147.81,809.01,12.8,0.0
Poland,2019,163.22,25.46,0.71,15.11,1.96,0.0,137.76,771.66,15.6,0.0
Poland,2020,157.15,28.23,1.96,15.8,2.12,0.0,128.92,738.28,18.0,0.0
Poland,2021,178.79,30.56,3.93,16.23,2.34,0.0,148.23,756.36,17.1,0.0
Poland,2022,178.6,37.69,8.31,19.78,1.97,0.0,140.91,732.48,21.1,0.0
Poland,2023,165.52,45.86,11.11,24.18,2.41,0.0,119.66,650.68,27.7,0.0
Poland,2024,172.12,53.61,17.66,25.89,2.11,0.0,118.51,608.18,31.1,0.0
Poland,2025,173.26,54.59,19.55,24.62,1.7,0.0,118.67,588.6,31.5,0.0
Portugal,2000,43.21,12.87,0.0,0.17,11.32,0.0,30.34,546.17,29.8,0.0
Portugal,2001,46.06,15.74,0.0,0.26,14.03,0.0,30.32,506.95,34.2,0.0
Portugal,2002,45.55,9.73,0.0,0.36,7.8,0.0,35.82,592.54,21.4,0.0
Portugal,2003,46.39,17.7,0.0,0.5,15.72,0.0,28.69,485.23,38.2,0.0
Portugal,2004,44.68,12.31,0.0,0.82,9.87,0.0,32.37,541.18,27.6,0.0
Portugal,2005,46.01,8.25,0.0,1.77,4.73,0.0,37.76,595.31,17.9,0.0
Portugal,2006,48.4,15.72,0.0,2.93,11.0,0.0,32.68,503.93,32.5,0.0
Portugal,2007,46.71,16.21,0.02,4.04,10.09,0.0,30.5,472.28,34.7,0.0
Portugal,2008,45.34,14.64,0.04,5.76,6.8,0.0,30.7,471.55,32.3,0.0
Portugal,2009,49.38,18.29,0.16,7.58,8.28,0.0,31.09,452.82,37.0,0.0
Portugal,2010,53.48,28.35,0.21,9.18,16.15,0.0,25.13,317.13,53.0,0.0
Portugal,2011,51.78,24.11,0.28,9.16,11.54,0.0,27.67,375.05,46.6,0.0
Portugal,2012,45.44,19.37,0.39,10.26,5.62,0.0,26.07,441.24,42.6,0.0
Portugal,2013,50.35,29.47,0.48,12.01,13.73,0.0,20.88,340.42,58.5,0.0
Portugal,2014,51.8,31.57,0.63,12.11,15.57,0.0,20.23,325.68,60.9,0.0
Portugal,2015,51.14,24.36,0.8,11.6,8.66,0.0,26.78,413.96,47.6,0.0
Portugal,2016,59.05,32.3,0.87,12.47,15.72,0.0,26.75,343.61,54.7,0.0
Portugal,2017,57.59,22.58,0.99,12.25,5.9,0.0,35.01,433.76,39.2,0.0
Portugal,2018,58.35,29.41,1.01,12.62,12.39,0.0,28.94,358.7,50.4,0.0
Portugal,2019,51.6,27.41,1.34,13.67,8.82,0.0,24.19,300.97,53.1,0.0
Portugal,2020,51.39,30.11,1.72,12.3,12.08,0.0,21.28,248.3,58.6,0.0
Portugal,2021,49.22,31.54,2.24,13.21,11.91,0.0,17.68,210.48,64.1,0.0
Portugal,2022,46.33,27.61,3.52,13.25,6.54,0.0,18.72,225.34,59.6,0.0
Portugal,2023,46.14,34.36,5.16,13.15,12.04,0.0,11.78,158.43,74.5,0.0
Portugal,2024,47.27,40.27,7.09,14.34,14.89,0.0,7.0,110.64,85.2,0.0
Portugal,2025,51.13,41.39,8.86,13.67,15.18,0.0,9.74,127.91,81.0,0.0
Romania,2000,51.56,14.78,0.0,0.0,14.78,5.46,31.32,513.77,28.7,10.6
Romania,2001,53.55,14.92,0.0,0.0,14.92,5.45,33.18,524.56,27.9,10.2
Romania,2002,54.42,16.05,0.0,0.0,16.05,5.51,32.86,515.07,29.5,10.1
Romania,2003,54.84,13.26,0.0,0.0,13.26,4.91,36.67,573.85,24.2,9.0
Romania,2004,56.47,16.51,0.0,0.0,16.51,5.55,34.41,518.15,29.2,9.8
Romania,2005,59.33,20.22,0.0,0.0,20.21,5.55,33.56,489.97,34.1,9.4
Romania,2006,62.56,18.36,0.0,0.0,18.36,5.63,38.57,530.37,29.3,9.0
Romania,2007,61.56,16.01,0.0,0.0,15.97,7.71,37.84,529.73,26.0,12.5
Romania,2008,64.86,17.22,0.0,0.0,17.2,11.23,36.41,497.53,26.5,17.3
Romania,2009,57.59,15.55,0.0,0.01,15.53,11.75,30.29,469.7,27.0,20.4
Romania,2010,60.42,20.3,0.0,0.31,19.88,11.62,28.5,424.53,33.6,19.2
Romania,2011,61.8,16.32,0.0,1.39,14.73,11.75,33.73,490.62,26.4,19.0
Romania,2012,58.54,14.93,0.01,2.64,12.07,11.47,32.14,486.85,25.5,19.6
Romania,2013,58.19,20.15,0.42,4.52,14.96,11.62,26.42,389.76,34.6,20.0
Romania,2014,64.92,27.12,1.62,6.2,18.8,11.68,26.12,357.06,41.8,18.0
Romania,2015,65.66,26.19,1.98,7.06,16.63,11.64,27.83,369.02,39.9,17.7
Romania,2016,64.22,26.97,1.82,6.59,18.03,11.29,25.96,345.38,42.0,17.6
Romania,2017,63.54,24.29,1.86,7.41,14.49,11.51,27.74,369.22,38.2,18.1
Romania,2018,64.07,26.19,1.77,6.32,17.66,11.38,26.5,348.06,40.9,17.8
Romania,2019,58.76,24.63,1.78,6.77,15.58,11.28,22.85,328.97,41.9,19.2
Romania,2020,55.21,24.61,1.73,6.95,15.38,11.47,19.13,277.85,44.6,20.8
Romania,2021,58.56,26.34,1.7,6.58,17.41,11.28,20.94,289.96,45.0,19.3
Romania,2022,54.74,23.62,1.99,7.0,13.98,11.09,20.03,297.77,43.1,20.3
Romania,2023,56.95,28.36,2.23,7.55,18.14,11.19,17.4,243.2,49.8,19.6
Romania,2024,52.72,24.52,3.42,6.43,14.19,10.91,17.29,251.33,46.5,20.7
Romania,2025,49.81,23.43,4.88,5.97,12.09,10.2,16.18,250.75,47.0,20.5
Spain,2000,220.92,34.49,0.01,4.73,28.26,62.21,124.22,470.89,15.6,28.2
Spain,2001,233.07,49.3,0.02,6.76,40.89,63.71,120.06,422.49,21.2,27.3
Spain,2002,239.91,33.17,0.02,9.34,21.22,63.02,143.72,481.89,13.8,26.3
Spain,2003,257.3,55.75,0.02,12.07,40.48,61.88,139.67,429.23,21.7,24.0
Spain,2004,276.61,50.13,0.02,15.7,31.08,63.61,162.87,449.12,18.1,23.0
Spain,2005,289.46,42.27,0.05,21.18,18.39,57.54,189.65,475.06,14.6,19.9
Spain,2006,295.59,52.15,0.12,23.3,25.96,60.13,183.31,432.76,17.6,20.3
Spain,2007,301.86,58.3,0.52,27.57,27.31,55.1,188.46,438.85,19.3,18.3
Spain,2008,309.79,62.15,2.58,32.95,23.36,58.97,188.67,390.23,20.1,19.0
Spain,2009,290.72,74.08,6.06,38.12,26.41,52.76,163.88,355.02,25.5,18.1
Spain,2010,297.8,97.77,7.19,44.27,42.3,61.99,138.04,288.25,32.8,20.8
Spain,2011,291.54,87.53,9.4,42.92,30.6,57.72,146.29,337.28,30.0,19.8
Spain,2012,293.95,86.97,11.97,49.47,20.55,61.47,145.51,351.11,29.6,20.9
Spain,2013,281.46,111.41,13.1,55.64,36.87,56.73,113.32,286.86,39.6,20.2
Spain,2014,274.44,110.26,13.67,52.01,39.17,57.31,106.87,288.99,40.2,20.9
Spain,2015,277.17,97.08,13.86,49.32,28.14,57.2,122.89,328.5,35.0,20.6
Spain,2016,270.7,104.63,13.64,48.9,36.4,58.63,107.44,282.93,38.7,21.7
Spain,2017,272.38,87.93,14.4,49.13,18.32,58.04,126.41,329.17,32.3,21.3
Spain,2018,271.4,103.87,12.74,50.89,34.33,55.77,111.76,290.86,38.3,20.5
Spain,2019,270.52,100.99,15.1,55.65,24.65,58.35,111.18,246.67,37.3,21.6
Spain,2020,259.47,113.79,20.67,56.44,30.51,58.3,87.38,199.1,43.9,22.5
Spain,2021,270.75,125.75,27.1,62.06,29.63,56.56,88.44,193.54,46.4,20.9
Spain,2022,287.15,122.91,35.72,62.78,17.59,58.59,105.65,217.13,42.8,20.4
Spain,2023,279.11,143.78,48.59,64.28,25.0,56.87,78.46,169.68,51.5,20.4
Spain,2024,280.94,161.08,58.29,62.2,34.41,54.53,65.33,146.22,57.3,19.4
Spain,2025,287.89,160.81,62.9,58.76,32.74,54.07,73.01,153.6,55.9,18.8
Sweden,2000,145.23,83.14,0.0,0.46,78.58,57.32,4.77,44.89,57.2,39.5
Sweden,2001,161.6,83.32,0.0,0.48,79.06,72.11,6.17,46.78,51.6,44.6
Sweden,2002,146.7,71.15,0.0,0.61,66.36,68.11,7.44,56.24,48.5,46.4
Sweden,2003,135.39,58.73,0.0,0.68,53.54,67.42,9.24,68.54,43.4,49.8
Sweden,2004,151.56,68.18,0.0,0.86,60.12,77.49,5.89,48.03,45.0,51.1
Sweden,2005,158.36,81.22,0.0,0.93,72.8,72.38,4.76,43.13,51.3,45.7
Sweden,2006,143.28,71.06,0.0,0.98,61.72,66.98,5.24,49.69,49.6,46.7
Sweden,2007,148.82,77.43,0.0,1.43,66.16,66.97,4.42,46.03,52.0,45.0
Sweden,2008,149.9,81.41,0.0,2.0,69.07,63.89,4.6,47.83,54.3,42.6
Sweden,2009,136.6,79.81,0.01,2.49,65.85,52.17,4.62,51.1,58.4,38.2
Sweden,2010,148.45,82.09,0.01,3.49,66.4,57.83,8.53,63.73,55.3,39.0
Sweden,2011,150.28,84.09,0.01,6.11,66.43,60.47,5.72,52.3,56.0,40.2
Sweden,2012,166.44,98.31,0.02,7.17,78.93,64.04,4.09,44.7,59.1,38.5
Sweden,2013,153.03,82.69,0.04,9.84,61.36,66.46,3.88,44.7,54.0,43.4
Sweden,2014,153.56,85.75,0.05,11.24,63.76,64.88,2.93,40.18,55.8,42.3
Sweden,2015,162.0,102.5,0.1,16.32,75.31,56.35,3.15,40.86,63.3,34.8
Sweden,2016,155.89,89.13,0.14,15.48,62.02,63.1,3.66,42.98,57.2,40.5
Sweden,2017,164.23,95.06,0.23,17.61,65.14,65.7,3.47,42.5,57.9,40.0
Sweden,2018,163.36,91.15,0.41,16.62,62.21,68.55,3.66,42.73,55.8,42.0
Sweden,2019,168.42,98.94,0.68,19.85,65.37,66.13,3.35,42.34,58.7,39.3
Sweden,2020,163.78,112.14,1.05,27.52,72.39,49.2,2.44,38.71,68.5,30.0
Sweden,2021,171.78,115.75,1.53,27.25,73.89,52.97,3.06,41.74,67.4,30.8
Sweden,2022,173.05,118.23,1.98,33.25,69.87,51.94,2.88,41.03,68.3,30.0
Sweden,2023,166.05,115.25,3.11,34.25,66.19,48.47,2.33,38.42,69.4,29.2
Sweden,2024,172.15,119.4,4.16,40.45,64.61,50.67,2.08,34.91,69.4,29.4
Sweden,2025,170.71,121.53,4.43,38.9,68.24,47.1,2.08,35.26,71.2,27.6
Switzerland,2000,66.12,37.68,0.01,0.0,36.83,26.45,1.99,33.58,57.0,40.0
Switzerland,2001,71.05,42.2,0.01,0.0,41.31,26.81,2.04,33.36,59.4,37.7
Switzerland,2002,65.41,36.1,0.01,0.0,35.17,27.23,2.08,34.25,55.2,41.6
Switzerland,2003,65.34,35.72,0.02,0.0,34.76,27.49,2.13,34.44,54.7,42.1
Switzerland,2004,63.87,34.76,0.02,0.01,33.75,26.96,2.15,35.23,54.4,42.2
Switzerland,2005,57.8,32.29,0.02,0.01,31.23,23.34,2.17,38.06,55.9,40.4
Switzerland,2006,62.13,32.13,0.02,0.01,30.96,27.82,2.18,36.21,51.7,44.8
Switzerland,2007,66.43,36.48,0.03,0.02,35.25,27.92,2.03,34.47,54.9,42.0
Switzerland,2008,67.04,37.33,0.04,0.02,36.04,27.7,2.01,34.16,55.7,41.3
Switzerland,2009,66.67,37.03,0.05,0.02,35.72,27.69,1.95,34.05,55.5,41.5
Switzerland,2010,66.05,37.47,0.09,0.04,36.06,26.34,2.24,35.88,56.7,39.9
Switzerland,2011,62.88,34.02,0.17,0.07,32.39,26.71,2.15,36.26,54.1,42.5
Switzerland,2012,68.13,40.53,0.3,0.09,38.6,25.44,2.16,36.25,59.5,37.3
Switzerland,2013,68.69,40.67,0.5,0.09,38.46,25.99,2.03,35.52,59.2,37.8
Switzerland,2014,70.08,40.67,0.84,0.1,38.04,27.56,1.85,34.39,58.0,39.3
Switzerland,2015,66.07,41.12,1.12,0.11,38.26,23.09,1.86,35.57,62.2,34.9
Switzerland,2016,61.1,37.81,1.33,0.11,34.62,21.15,2.14,39.44,61.9,34.6
Switzerland,2017,60.15,37.76,1.68,0.13,34.09,20.38,2.01,39.73,62.8,33.9
Switzerland,2018,66.29,38.88,1.95,0.12,34.98,25.51,1.9,36.05,58.7,38.5
Switzerland,2019,70.57,42.25,2.18,0.15,38.04,26.42,1.9,35.28,59.9,37.4
Switzerland,2020,68.5,42.61,2.6,0.15,37.87,24.02,1.87,36.64,62.2,35.1
Switzerland,2021,63.09,42.01,2.84,0.14,36.96,19.36,1.72,38.52,66.6,30.7
Switzerland,2022,61.72,35.99,3.86,0.15,29.9,24.15,1.58,37.27,58.3,39.1
Switzerland,2023,70.07,44.26,4.62,0.17,37.39,24.38,1.43,34.82,63.2,34.8
Switzerland,2024,78.37,52.86,5.66,0.18,44.94,24.02,1.49,34.58,67.4,30.6
Switzerland,2025,65.02,44.1,7.89,0.14,33.99,19.42,1.5,39.22,67.8,29.9
United Kingdom,2000,377.06,9.91,0.0,0.94,5.09,85.06,282.09,521.99,2.6,22.6
United Kingdom,2001,384.77,9.54,0.0,0.96,4.05,90.09,285.14,528.99,2.5,23.4
United Kingdom,2002,387.24,11.12,0.0,1.25,4.79,87.85,288.27,520.89,2.9,22.7
United Kingdom,2003,398.21,10.69,0.0,1.29,3.23,88.69,298.83,536.78,2.7,22.3
United Kingdom,2004,393.92,14.14,0.0,1.94,4.84,80.0,299.78,536.02,3.6,20.3
United Kingdom,2005,398.35,16.93,0.01,2.9,4.92,81.62,299.8,535.26,4.3,20.5
United Kingdom,2006,397.27,18.1,0.01,4.22,4.59,75.45,303.72,559.34,4.6,19.0
United Kingdom,2007,396.81,19.68,0.01,5.27,5.08,63.03,314.1,556.06,5.0,15.9
United Kingdom,2008,388.96,21.94,0.02,7.13,5.14,52.49,314.53,554.38,5.6,13.5
United Kingdom,2009,376.76,25.24,0.02,9.28,5.23,69.1,282.42,504.65,6.7,18.3
United Kingdom,2010,382.06,26.18,0.04,10.29,3.59,62.14,293.74,517.2,6.9,16.3
United Kingdom,2011,367.97,35.2,0.24,15.96,5.69,68.98,263.79,499.63,9.6,18.7
United Kingdom,2012,363.87,41.24,1.35,19.84,5.31,70.41,252.22,537.23,11.3,19.4
United Kingdom,2013,358.28,53.21,2.01,28.4,4.7,70.61,234.46,506.92,14.9,19.7
United Kingdom,2014,338.08,64.51,4.05,31.95,5.89,63.75,209.82,462.88,19.1,18.9
United Kingdom,2015,338.87,83.36,7.53,40.27,6.3,70.34,185.17,397.79,24.6,20.8
United Kingdom,2016,339.18,83.01,10.41,37.16,5.37,71.73,184.44,333.45,24.5,21.1
United Kingdom,2017,338.22,98.89,11.46,49.65,5.88,70.34,168.99,302.2,29.2,20.8
United Kingdom,2018,333.76,110.14,12.67,56.91,5.44,65.06,158.56,285.65,33.0,19.5
United Kingdom,2019,327.19,119.74,12.42,63.84,5.93,56.18,151.27,268.41,36.6,17.2
United Kingdom,2020,310.3,133.63,12.55,75.62,6.88,50.24,126.43,242.54,43.1,16.2
United Kingdom,2021,307.9,122.49,12.13,64.93,5.42,46.1,139.31,267.1,39.8,15.0
United Kingdom,2022,324.58,135.06,13.34,80.21,5.66,47.4,142.12,254.98,41.6,14.6
United Kingdom,2023,292.53,135.67,13.88,82.15,5.54,40.6,116.26,235.63,46.4,13.9
United Kingdom,2024,284.16,143.92,14.79,83.28,5.76,40.59,99.65,216.5,50.6,14.3
United Kingdom,2025,292.31,151.92,19.32,85.84,5.55,36.38,104.01,217.41,52.0,12.4
